1948,St.Moritz,Bobsleigh,"BIBBIA,Nino",ITA,Men,Individual,Gold,,
1952,Oslo,Skiing,"COLO,Zeno",ITA,Men,Downhill,Gold,,
1952,Oslo,Skiing,"MINUZZOCHENAL,Giuliana",ITA,Women,Downhill,Bronze,,
1956,Cortinad'Ampezzo,Bobsleigh,"ALVERA,Renzo",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"GIRARDI,Ulrico",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MOCELLINI,Renato",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"CONTI,Giacomo",ITA,Men,Two-Man,Gold,,
1956,Cortinad'Ampezzo,Bobsleigh,"DALLACOSTA,Lamberto",ITA,Men,Two-Man,Gold,,
1956,Cortinad'Ampezzo,Bobsleigh,"ALVERA,Renzo",ITA,Men,Two-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Silver,,
1960,SquawValley,Skiing,"MINUZZOCHENAL,Giuliana",ITA,Women,GiantSlalom,Bronze,,
1964,Innsbruck,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"RIGONI,Benito",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Gildo",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Sergio",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Sergio",ITA,Men,Two-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"BONAGURA,Romano",ITA,Men,Two-Man,Silver,,
1964,Innsbruck,Bobsleigh,"ZARDINI,Sergio",ITA,Men,Two-Man,Silver,,
1964,Innsbruck,Luge,"AUSSENDORFER,Walter",ITA,Men,Doubles,Bronze,,
1964,Innsbruck,Luge,"MAIR,Sigisfredo",ITA,Men,Doubles,Bronze,,
1968,Grenoble,Bobsleigh,"ARMANO,Mario",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"DEPAOLIS,Luciano",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"ZANDONELLA,Roberto",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"DEPAOLIS,Luciano",ITA,Men,Two-Man,Gold,,
1968,Grenoble,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Gold,,
1968,Grenoble,Luge,"LECHNER,Erica",ITA,Women,Singles,Gold,,
1968,Grenoble,Skiing,"NONES,Franco",ITA,Men,30KMMassStart,Gold,,
1972,Sapporo,Bobsleigh,"BONICHON,Gianni",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"DALFABBRO,Corrado",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"DEZORDO,Nevio",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"FRASSINELLI,Adriano",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Luge,"HILDGARTNER,Paul",ITA,Men,Doubles,Gold,,
1972,Sapporo,Luge,"PLAIKNER,Walter",ITA,Men,Doubles,Gold,,
1972,Sapporo,Skiing,"THe_NI,Gustavo",ITA,Men,GiantSlalom,Gold,,
1972,Sapporo,Skiing,"THe_NI,Rolando",ITA,Men,Slalom,Bronze,,
1972,Sapporo,Skiing,"THe_NI,Gustavo",ITA,Men,Slalom,Silver,,
1976,Innsbruck,Skiing,"PLANK,Herbert",ITA,Men,Downhill,Bronze,,
1976,Innsbruck,Skiing,"GROS,Piero",ITA,Men,Slalom,Gold,,
1976,Innsbruck,Skiing,"THe_NI,Gustavo",ITA,Men,Slalom,Silver,,
1976,Innsbruck,Skiing,"GIORDANI,Claudia",ITA,Women,Slalom,Silver,,
1980,LakePlacid,Luge,"BRUNNER,Karl",ITA,Men,Doubles,Silver,,
1980,LakePlacid,Luge,"GSCHNITZER,Peter",ITA,Men,Doubles,Silver,,
1980,LakePlacid,Luge,"HILDGARTNER,Paul",ITA,Men,Singles,Silver,,
1984,Sarajevo,Luge,"HILDGARTNER,Paul",ITA,Men,Singles,Gold,,
1984,Sarajevo,Skiing,"MAGONI,Paoletta",ITA,Women,Slalom,Gold,,
1988,Calgary,Biathlon,"PASSLER,Johann",ITA,Men,20KM,Bronze,,
1988,Calgary,Biathlon,"KIEM,Werner",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"PASSLER,Johann",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"TASCHLER,Gottlieb",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"ZINGERLE,Andreas",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Skiing,"TOMBA,Alberto",ITA,Men,GiantSlalom,Gold,,
1988,Calgary,Skiing,"TOMBA,Alberto",ITA,Men,Slalom,Gold,,
1988,Calgary,Skiing,"DEZOLT,Maurilio",ITA,Men,50KM,Silver,,
1992,Albertville,Luge,"HUBER,Norbert",ITA,Men,Doubles,Bronze,,
1992,Albertville,Luge,"RAFFL,Hansje_rg",ITA,Men,Doubles,Bronze,,
1992,Albertville,Skiing,"POLIG,Josef",ITA,Men,AlpineCombined,Gold,,
1992,Albertville,Skiing,"MARTIN,Gianfranco",ITA,Men,AlpineCombined,Silver,,
1992,Albertville,Skiing,"TOMBA,Alberto",ITA,Men,GiantSlalom,Gold,,
1992,Albertville,Skiing,"TOMBA,Alberto",ITA,Men,Slalom,Silver,,
1992,Albertville,Skiing,"COMPAGNONI,Deborah",ITA,Women,Super-G,Gold,,
1992,Albertville,Skiing,"ALBARELLO,Marco",ITA,Men,10KMPursuit,Silver,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,30KM,Gold,,
1992,Albertville,Skiing,"ALBARELLO,Marco",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"FAUNER,Silvio",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"PULIE,Giuseppe",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"DICENTA,Manuela",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"PARUZZI,Gabriella",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"VANZETTA,Bice",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,50KM,Bronze,,
1992,Albertville,Skiing,"DEZOLT,Maurilio",ITA,Men,50KM,Silver,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,Combined10KM+15KMPursuit,Bronze,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,Combined5KM+10KMPursuit,Silver,,
1994,Lillehammer,Bobsleigh,"HUBER,Guenther",ITA,Men,Two-Man,Bronze,,
1994,Lillehammer,Bobsleigh,"TICCI,Stefano",ITA,Men,Two-Man,Bronze,,
1994,Lillehammer,Luge,"BRUGGER,Kurt",ITA,Men,Doubles,Gold,,
1994,Lillehammer,Luge,"HUBER,Wilfried",ITA,Men,Doubles,Gold,,
1994,Lillehammer,Luge,"HUBER,Norbert",ITA,Men,Doubles,Silver,,
1994,Lillehammer,Luge,"RAFFL,Hansje_rg",ITA,Men,Doubles,Silver,,
1994,Lillehammer,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Bronze,,
1994,Lillehammer,Luge,"WEISSENSTEINER,Gerda",ITA,Women,Singles,Gold,,
1994,Lillehammer,Skating,"CARNINO,Maurizio",ITA,Men,5000MRelay,Gold,,
1994,Lillehammer,Skating,"CATTANI,Diego",ITA,Men,5000MRelay,Gold,,
1994,Lillehammer,Skating,"FAGONE,Orazio",ITA,Men,5000MRelay,Gold,,
1994,Lillehammer,Skating,"HERRNHOF,Hugo",ITA,Men,5000MRelay,Gold,,
1994,Lillehammer,Skating,"VUILLERMIN,Mirko",ITA,Men,5000MRelay,Gold,,
1994,Lillehammer,Skating,"VUILLERMIN,Mirko",ITA,Men,500M,Silver,,
1994,Lillehammer,Skiing,"KOSTNER,Isolde",ITA,Women,Downhill,Bronze,,
1994,Lillehammer,Skiing,"COMPAGNONI,Deborah",ITA,Women,GiantSlalom,Gold,,
1994,Lillehammer,Skiing,"TOMBA,Alberto",ITA,Men,Slalom,Silver,,
1994,Lillehammer,Skiing,"KOSTNER,Isolde",ITA,Women,Super-G,Bronze,,
1994,Lillehammer,Skiing,"ALBARELLO,Marco",ITA,Men,10KMPursuit,Bronze,,
1994,Lillehammer,Skiing,"DICENTA,Manuela",ITA,Women,15KMMassStart,Gold,,
1994,Lillehammer,Skiing,"DICENTA,Manuela",ITA,Women,30KM,Gold,,
1994,Lillehammer,Skiing,"ALBARELLO,Marco",ITA,Men,4X10KMRelay,Gold,,
1994,Lillehammer,Skiing,"DEZOLT,Maurilio",ITA,Men,4X10KMRelay,Gold,,
1994,Lillehammer,Skiing,"FAUNER,Silvio",ITA,Men,4X10KMRelay,Gold,,
1994,Lillehammer,Skiing,"VANZETTA,Giorgio",ITA,Men,4X10KMRelay,Gold,,
1994,Lillehammer,Skiing,"BELMONDO,Stefania",ITA,Women,4X5KMRelay,Bronze,,
1994,Lillehammer,Skiing,"DICENTA,Manuela",ITA,Women,4X5KMRelay,Bronze,,
1994,Lillehammer,Skiing,"PARUZZI,Gabriella",ITA,Women,4X5KMRelay,Bronze,,
1994,Lillehammer,Skiing,"VANZETTA,Bice",ITA,Women,4X5KMRelay,Bronze,,
1994,Lillehammer,Skiing,"DICENTA,Manuela",ITA,Women,5KM,Silver,,
1994,Lillehammer,Skiing,"FAUNER,Silvio",ITA,Men,Combined10KM+15KMPursuit,Bronze,,
1994,Lillehammer,Skiing,"BELMONDO,Stefania",ITA,Women,Combined5KM+10KMPursuit,Bronze,,
1994,Lillehammer,Skiing,"DICENTA,Manuela",ITA,Women,Combined5KM+10KMPursuit,Silver,,
1998,Nagano,Biathlon,"CARRARA,PierAlberto",ITA,Men,20KM,Silver,,
1998,Nagano,Bobsleigh,"HUBER,Guenther",ITA,Men,Two-Man,Gold,,
1998,Nagano,Bobsleigh,"TARTAGLIA,Antonio",ITA,Men,Two-Man,Gold,,
1998,Nagano,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Silver,,
1998,Nagano,Skiing,"COMPAGNONI,Deborah",ITA,Women,GiantSlalom,Gold,,
1998,Nagano,Skiing,"COMPAGNONI,Deborah",ITA,Women,Slalom,Silver,,
1998,Nagano,Skiing,"BELMONDO,Stefania",ITA,Women,30KM,Silver,,
1998,Nagano,Skiing,"FAUNER,Silvio",ITA,Men,30KMMassStart,Bronze,,
1998,Nagano,Skiing,"ALBARELLO,Marco",ITA,Men,4X10KMRelay,Silver,,
1998,Nagano,Skiing,"FAUNER,Silvio",ITA,Men,4X10KMRelay,Silver,,
1998,Nagano,Skiing,"MAY,Fabio",ITA,Men,4X10KMRelay,Silver,,
1998,Nagano,Skiing,"VALBUSA,Fulvio",ITA,Men,4X10KMRelay,Silver,,
1998,Nagano,Skiing,"BELMONDO,Stefania",ITA,Women,4X5KMRelay,Bronze,,
1998,Nagano,Skiing,"DICENTA,Manuela",ITA,Women,4X5KMRelay,Bronze,,
1998,Nagano,Skiing,"MORODER,Karin",ITA,Women,4X5KMRelay,Bronze,,
1998,Nagano,Skiing,"PARUZZI,Gabriella",ITA,Women,4X5KMRelay,Bronze,,
1998,Nagano,Skiing,"PRUGGER,Thomas",ITA,Men,Giant-Slalom,Silver,,
2002,SaltLakeCity,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Gold,,
2002,SaltLakeCity,Skating,"FUSARPOLI,Barbara",ITA,Women,IceDancing,Bronze,,
2002,SaltLakeCity,Skating,"MARGAGLIO,Maurizio",ITA,Men,IceDancing,Bronze,,
2002,SaltLakeCity,Skating,"ANTONIOLI,Michele",ITA,Men,5000MRelay,Silver,,
2002,SaltLakeCity,Skating,"CARNINO,Maurizio",ITA,Men,5000MRelay,Silver,,
2002,SaltLakeCity,Skating,"CARTA,Fabio",ITA,Men,5000MRelay,Silver,,
2002,SaltLakeCity,Skating,"FRANCESCHINA,Nicola",ITA,Men,5000MRelay,Silver,,
2002,SaltLakeCity,Skating,"RODIGARI,Nicola",ITA,Men,5000MRelay,Silver,,
2002,SaltLakeCity,Skiing,"KOSTNER,Isolde",ITA,Women,Downhill,Silver,,
2002,SaltLakeCity,Skiing,"PUTZER,Karen",ITA,Women,Super-G,Bronze,,
2002,SaltLakeCity,Skiing,"CECCARELLI,Daniela",ITA,Women,Super-G,Gold,,
2002,SaltLakeCity,Skiing,"BELMONDO,Stefania",ITA,Women,10KM,Bronze,,
2002,SaltLakeCity,Skiing,"BELMONDO,Stefania",ITA,Women,15KMMassStart,Gold,,
2002,SaltLakeCity,Skiing,"PARUZZI,Gabriella",ITA,Women,30KM,Gold,,
2002,SaltLakeCity,Skiing,"BELMONDO,Stefania",ITA,Women,30KM,Silver,,
2002,SaltLakeCity,Skiing,"DICENTA,Giorgio",ITA,Men,4X10KMRelay,Silver,,
2002,SaltLakeCity,Skiing,"MAJ,Fabio",ITA,Men,4X10KMRelay,Silver,,
2002,SaltLakeCity,Skiing,"PILLERCOTTRER,Pietro",ITA,Men,4X10KMRelay,Silver,,
2002,SaltLakeCity,Skiing,"ZORZI,Cristian",ITA,Men,4X10KMRelay,Silver,,
2002,SaltLakeCity,Skiing,"ZORZI,Cristian",ITA,Men,Sprint1.5KM,Bronze,,
2002,SaltLakeCity,Skiing,"TRETTEL,Lidia",ITA,Women,GiantParallelSlalom,Bronze,,
2006,Turin,Bobsleigh,"ISACCO,Jennifer",ITA,Women,Two-Man,Bronze,,
2006,Turin,Bobsleigh,"WEISSENSTEINER,Gerda",ITA,Women,Two-Man,Bronze,,
2006,Turin,Luge,"HASELRIEDER,Oswald",ITA,Men,Doubles,Bronze,,
2006,Turin,Luge,"PLANKENSTEINER,Gerhard",ITA,Men,Doubles,Bronze,,
2006,Turin,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Gold,,
2006,Turin,Skating,"CAPURSO,Marta",ITA,Women,3000MRelay,Bronze,,
2006,Turin,Skating,"FONTANA,Arianna",ITA,Women,3000MRelay,Bronze,,
2006,Turin,Skating,"ZINI,Katia",ITA,Women,3000MRelay,Bronze,,
2006,Turin,Skating,"ZINI,Mara",ITA,Women,3000MRelay,Bronze,,
2006,Turin,Skating,"FABRIS,Enrico",ITA,Men,1500M,Gold,,
2006,Turin,Skating,"FABRIS,Enrico",ITA,Men,5000M,Bronze,,
2006,Turin,Skating,"ANESI,Matteo",ITA,Men,TeamPursuit,Gold,,
2006,Turin,Skating,"DONAGRANDI,Stefano",ITA,Men,TeamPursuit,Gold,,
2006,Turin,Skating,"FABRIS,Enrico",ITA,Men,TeamPursuit,Gold,,
2006,Turin,Skating,"SANFRATELLO,Ippolito",ITA,Men,TeamPursuit,Gold,,
2006,Turin,Skiing,"DICENTA,Giorgio",ITA,Men,4X10KMRelay,Gold,,
2006,Turin,Skiing,"PILLERCOTTRER,Pietro",ITA,Men,4X10KMRelay,Gold,,
2006,Turin,Skiing,"VALBUSA,Fulvio",ITA,Men,4X10KMRelay,Gold,,
2006,Turin,Skiing,"ZORZI,Cristian",ITA,Men,4X10KMRelay,Gold,,
2006,Turin,Skiing,"CONFORTOLA,Antonella",ITA,Women,4X5KMRelay,Bronze,,
2006,Turin,Skiing,"FOLLIS,Arianna",ITA,Women,4X5KMRelay,Bronze,,
2006,Turin,Skiing,"PARUZZI,Gabriella",ITA,Women,4X5KMRelay,Bronze,,
2006,Turin,Skiing,"VALBUSA,Sabina",ITA,Women,4X5KMRelay,Bronze,,
2006,Turin,Skiing,"DICENTA,Giorgio",ITA,Men,50KM,Gold,,
2006,Turin,Skiing,"PILLERCOTTRER,Pietro",ITA,Men,Combined15+15KMMassStart,Bronze,,
2010,Vancouver,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Bronze,,
2010,Vancouver,Skating,"FONTANA,Arianna",ITA,Women,500M,Bronze,,
2010,Vancouver,Skiing,"RAZZOLI,Giuliano",ITA,Men,Slalom,Gold,,
2010,Vancouver,Skiing,"PILLERCOTTRER,Pietro",ITA,Men,15KM,Silver,,
2010,Vancouver,Skiing,"PITTIN,Alessandro",ITA,Men,"Individual,SkiJumpingK90(70M)",Bronze,,
2014,Sochi,Biathlon,"HOFER,Lukas",ITA,Men,RelayMix,Bronze,,
2014,Sochi,Biathlon,"WINDISCH,Dominik",ITA,Men,RelayMix,Bronze,,
2014,Sochi,Biathlon,"OBERHOFER,Karin",ITA,Women,RelayMix,Bronze,,
2014,Sochi,Biathlon,"WIERER,Dorothea",ITA,Women,RelayMix,Bronze,,
2014,Sochi,Luge,"ZOEGGELER,Armin",ITA,Men,Singles,Bronze,,
2014,Sochi,Skating,"KOSTNER,Carolina",ITA,Women,Individual,Bronze,,
2014,Sochi,Skating,"FONTANA,Arianna",ITA,Women,1500M,Bronze,,
2014,Sochi,Skating,"FONTANA,Arianna",ITA,Women,3000MRelay,Bronze,,
2014,Sochi,Skating,"PERETTI,Lucia",ITA,Women,3000MRelay,Bronze,,
2014,Sochi,Skating,"VALCEPINA,Martina",ITA,Women,3000MRelay,Bronze,,
2014,Sochi,Skating,"VIVIANI,Elena",ITA,Women,3000MRelay,Bronze,,
2014,Sochi,Skating,"FONTANA,Arianna",ITA,Women,500M,Silver,,
2014,Sochi,Skiing,"INNERHOFER,Christof",ITA,Men,Downhill,Silver,,
2014,Sochi,Skiing,"INNERHOFER,Christof",ITA,Men,SuperCombined,Bronze,,
